Gene ID,0 nM,1 nM,5 nM,10 nM,15 nM,20 nM,50 nM,100 nM,500 nM
YDR396W,5.595854922,6.119162641,5.85106383,3.112840467,3.85786802,4.425531915,2.88379983,2.431118314,3.285420945
YGR115C,0.665128004,0.826858002,0.569014649,0.499493015,0.651622867,0.764755688,0.544400784,0.728191194,0.263592823
YKL055C,29.00562759,30.43401213,27.99552072,29.67158788,30.84545697,29.62435101,24.45101883,28.69262444,24.80767908
YDR035W,167.8346442,164.7956997,155.3810143,156.3243569,155.8448673,151.2322057,165.440167,170.0179565,169.8846262
YBL062W,1.63621489,2.118823629,2.566256066,1.02396068,0.534330751,0.671892497,1.339225927,0.213255992,1.080730574
YHR160C,7.428018241,5.865979401,7.813085981,7.087107409,9.42456471,9.800735055,10.56482968,10.18917586,11.82326868
YGR047C,25.19108007,25.90514947,23.68291857,21.81365699,17.45387837,19.13994703,17.03519753,20.38441746,21.15450194
YDR119W,90.14555406,94.20220024,90.95913836,91.87671478,94.87498954,98.983226,79.63148095,66.80479786,61.9756336
YBR208C,24.74476667,26.63861863,27.84979014,25.9839087,26.28864601,28.04940714,28.47790452,31.96167895,34.71407867
YER151C,43.78976372,48.69734599,39.14567241,38.83234375,42.15904751,41.12335452,37.79310567,38.18045563,38.17291958
YLR070C,5.714009007,4.815868286,3.976933784,3.727408269,4.364533422,3.420163054,3.646365921,3.256638241,2.302865148
YPR019W,44.06272371,42.31293057,34.91027774,32.47172702,34.79540483,36.27883659,31.97694753,36.28016621,35.92146249
YPL228W,45.87487471,43.84641451,40.80487207,38.34419162,32.38387825,42.83705147,38.26823875,40.24835051,45.32645633
YPR190C,50.54715448,47.63685141,47.30539787,48.0437763,49.57250819,51.69649435,43.40210299,35.69106147,33.66552775
YGR041W,30.90517472,29.69706058,24.71262135,21.66957568,18.59913307,16.73120006,17.29391972,19.08790399,21.87114521
YDR353W,295.8608654,311.3146242,314.4898276,321.8535845,322.3535514,296.4080492,294.9602047,310.7133139,311.7552721
YHR097C,35.30427715,44.33603823,45.48509711,51.10182854,54.65976577,63.96884995,62.22732237,99.44280251,145.6160835
